refer/freer -> swans/snaws, kudzu, civic, gobbo, xylyl, phpht
wrack -> bevel/belve, gynny, dodos, immix, zhuzh, pfftt
cabby -> infix, keeve, grrrl, jujus, modom/odoom, phpht
bossy -> infix, qajaq, kudzu, cwtch, peepe, grrrl
moron -> pudus/spuds, qajaq, cwtch, kibbi, xylyl, feeze
seven -> yuppy/puppy, qajaq, cwtch, kibbi, grrrl, modom/odoom
candy -> wuffs, jeeze, grrrl, bombo, xviii, phpht
nanny -> pudus/spuds, cwtch, keeve, grrrl, immix, boffo
chick -> wrong/grown, sudds, qajaq, xylyl, mebbe, pfftt
event -> buffs, qajaq, hyphy, cocco, grrrl, immix
floss -> nebek, qajaq, cwtch, gyppy, xviii, durum
fleck -> swizz, qajaq, urubu, gynny, modom/odoom, phpht
penne -> biffy, qajaq, kudzu, omovs, cwtch, grrrl
brand -> fifis, cwtch, keeve, zoppo, jugum, xylyl
ledge -> fromm/froom, qajaq, xviii, bucku, phpht, wynns
champ -> kudzu, grrrl, jetee, xviii, boffo, wynns
chaff -> dukun, jeeze, grrrl, typps, bombo, xviii
fancy -> sudds, weeke, grrrl, bombo, xviii, phpht
clung -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, skyfs, bombo, xviii, phpht
grand -> femme, cwtch, kibbi, zoppo, xylyl, jujus
tooth -> femme, qajaq, kudzu, civic, grrrl, wynns
slush -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, civic, gynny, bombo, pfftt
